orom gwdww redo,Ghosts exist
orom doodo,Ghost exists
orom doodo,Ghost exists
sim jikor to,Give it back
sim jikor lakv,Give it back
sim jukur to,Give it back
sim jikur lakv,Give it back
patak vm ngom jito,Give me half
patak vm ngam jito,Give me half
patak vm ngom jila kv,Give me half
patak vm ngam jila kv,Give me half
patak vm ngam jila bv ka,Give me half
patak vm ngom jila bv ka,Give me half
iskul vvi lakv,Go to school
iskul vvto,Go to school
alv nv arum,Good evening
alv nv aryum,Good evening
no lvga bv alv pa,Good for you
no lvga bv alv do,Good for you
no lvga bv alv pvkv,Good for you
ngo alak vm gakbww to,Grab my hand
ngo alak vm gakbww lakv,Grab my hand
ngo alak vm gakbww tv kv,Grab my hadn
"Takar, kamto","Grow up, Takar"
"Takar, seecha to","Grow up, Takar"
"Takar, nyilo bv rito","Grow up, Takar"
"Takar, nyilo bv seeto","Grow up, Takar"
"Takar, nyilo bv seela kv","Grow up, Takar"
"Takar, kamcha to","Grow up, Takar"
sim so jito,Hand it over
sim soka jito,Hand it over
sim alak so jito,Hand it over
sim alak soka jito,Hand it over
himpu nv istvr!,Happy Easter!
Takar aapv nv bvri?,Has Takar come?
Takar aapv nv ri?,Has Takar come?
Takar aapv ri?,Has Takar come?
Takar aapvi?,Has Takar come?
Takar vvro pvnv bvri?,Has Takar gone?
Takar vvro pvri?,Has Takar gone?
Takar vvro pvbv ri?,Has Takar gone?
Takar vvro pvnv ri?,Has Takar gone?
Takar vvro pvi?,Has Takar gone?
donvt aku dvto,Have a donut
donvt aku dvla kv,Have a donut
donvt aku dvla ka,Have a donut
donvt aku dvtv ki,Have a donut
donvt aku dvtv la,Have a donut
donvt aku naalai,Have a donut
donvt aku naato,Have a donut
donvt aku naalai kv,Have a donut
donvt aku naalai ki,Have a donut
donvt aku naatv ki,Have a donut
donvt aku naatv la,Have a donut
donvt aku laalai,Have a donut
donvt aku laato,Have a donut
donvt aku laalai kv,Have a donut
donvt aku laalai ki,Have a donut
donvt aku laatv ki,Have a donut
donvt aku laatv la,Have a donut
sim tvvto,Have a drink
sim tvvla kv,Have a drink
sim tvvla ka,Have a drink
tvvnam aku tvvto,Have a drink
tvvnam aku tvvtv ka,Have a drink
tvvnam aku tvvtv ki,Have a drink
sim twwto,Have a drink
sim twwla kv,Have a drink
sim twwla ka,Have a drink
twwnam aku twwto,Have a drink
twwnam aku twwtv ka,Have a drink
twwnam aku twwtv ki,Have a drink
sim twwbik to,Have a snack
sim twwbik lakv,Have a snack
sim twwbik tvla,Have a snack
sim tvvbik lakv,Have a snack
sim tvvbik to,Have a snack
sim tvvbik tvla,Have a snack
tvvbik naato,Have a snack
tvvbik laato,Have a snack
tvvbik lo naala kv,Have a snack
tvvbik lo naala ka,Have a snack
tvvbik naatv ke,Have a snack
tvvbik naatv ki,Have a snack
tvvbik naatv ka,Have a snack
twwbik naato,Have a snack
twwbik laato,Have a snack
twwbik lo naala kv,Have a snack
twwbik lo naala ka,Have a snack
twwbik naatv ke,Have a snack
twwbik naatv ki,Have a snack
twwbik naatv ka,Have a snack
twwbik lo laala kv,Have a snack
twwbik lo laala ka,Have a snack
twwbik laatv ke,Have a snack
twwbik laatv ki,Have a snack
twwbik laatv ka,Have a snack
tvvbik lo naala kv,Have a snack
tvvbik lo naala ka,Have a snack
tvvbik naatv ke,Have a snack
tvvbik naatv ki,Have a snack
tvvbik naatv ka,Have a snack
aku naata tvke,Have another
aku laata tvke,Have another
aku naala kv,Have another
aku naala ka,Have another
aku laala ka,Have another
aku laala kv,Have another
naata lakv,Have another
naata laka,Have another
laata lakv,Have another
laata laka,Have another
lvkuda naata tvke,Have another
lvkuda laata tvke,Have another
lvkuda naala kv,Have another
lvkuda naala ka,Have another
lvkuda laala ka,Have another
lvkuda laala kv,Have another
busu mabv kv,Have courage
busu mabv ka,Have courage
attor bv dooto,Have courage
v ngom kaapak do,He avoids me
v ngom kaai do,He avoids me
v ngam kaapak do,He avoids me
v ngam kaai do,He avoids me
v sire de,He could die
v sichin re,He could die
v vm bai-baako pa,He denied it
v vm larchik pa,He denied it
v nyubtap pa,He dozed off
v yubtap pa,He dozed off
v ngom apak pa,He dumped me
v ngom topak pa,He dumped me
v ngam apak pa,He dumped me
v ngam topak pa,He dumped me
Ngom seeda daapi gu,Four sticks for me
nyi si tagin gv boolup gvpa,This man is wearing a Tagin head gear
nyi si tagin gv boolup gvpv,This man is wearing a Tagin head gear
nyi si tagin gv bootung gvpa,This man is wearing a Tagin head gear
nyi si tagin gv bootung gvpv,This man is wearing a Tagin head gear
nyi angv si tagin gv boolup gvpa,This man is wearing a Tagin head gear
nyi angv si tagin gv boolup gvpv,This man is wearing a Tagin head gear
nyi angv si tagin gv boolup gvpa,This man is wearing a Tagin head gear
nyi angv si tagin gv bootung gvpa,This man is wearing a Tagin head gear
nyi angv si tagin gv boolung gvpv,This man is wearing a Tagin head gear
nyi si tagin gv biotom gvpa,This man is wearing a Tagin head gear
nyi si tagin gv biotom gvpv,This man is wearing a Tagin head gear
nyi si tagin gv biotom gvpa,This man is wearing a Tagin head gear
nyi angv si tagin gv biotom gvpa,This man is wearing a Tagin head gear
nyi angv si tagin gv biotom gvpv,This man is wearing a Tagin head gear
nyi angv si tagin gv biotom gvpa,This man is wearing a Tagin head gear
nyi angv si tagin gv tashi dumtw gvpv,This man is wearing a Tagin head gear
nyi angv si tagin gv tashi dumtw gvpa,This man is wearing a Tagin head gear
nyi si tagin gv tashi dumtw gvpa,This man is wearing a Tagin head gear
nyi si tagin gv tashi dumtw gvpv,This man is wearing a Tagin head gear
nyi si tagin gv boolup gvdo,This man is wearing a Tagin head gear
nyi si tagin gv bootung gvdo,This man is wearing a Tagin head gear
nyi angv si tagin gv boolup gvdo,This man is wearing a Tagin head gear
nyi angv si tagin gv bootung gvdo,This man is wearing a Tagin head gear
nyi si tagin gv biotom gvdo,This man is wearing a Tagin head gear
nyi angv si tagin gv biotom gvdo,This man is wearing a Tagin head gear
nyi angv si tagin gv tashi dumtw gvdo,This man is wearing a Tagin head gear
nyi si tagin gv tashi dumtw gvdo,This man is wearing a Tagin head gear
no hugu lokv ripak pa olo lokv rirap to,Start reading where you left off
no ho lokv ripak pa olo lokv rirap to,Start reading where you left off
alv manv hvmi gvribv rima bv kv,Stop acting like a spoiled child
alv manv home gvribv rima bv kv,Stop acting like a spoiled child
alv manv hvmi jabv rima bv kv,Stop acting like a spoiled child
alv manv home jabv rima bv kv,Stop acting like a spoiled child
alv manv hvmi gvribv riyo kv,Stop acting like a spoiled child
alv manv home gvribv riyo kv,Stop acting like a spoiled child
alv manv hvmi jabv riyo kv,Stop acting like a spoiled child
alv manv home jabv riyo kv,Stop acting like a spoiled child
mvnyum to no alv manv nyi jabv ridv laka,Stop it You're being ridiculous
mvnyum to no munv nyi jabv ridv laka,Stop it You're being ridiculous
mvnyum to no alv manv nyi gvri bv ridv laka,Stop it You're being ridiculous
mvnyum to no munv nyi gvri bv ridv laka,Stop it You're being ridiculous
mvnyum to no nyimu nv jabv ridv laka,Stop it You're being ridiculous
mvnyum to no nyimu nv gvri bv ridv laka,Stop it You're being ridiculous
mvnyum to no rugak nv jabv ridv laka,Stop it You're being ridiculous
mvnyum to no rugak nv gvri bv ridv laka,Stop it You're being ridiculous
mvnyum to no suru nv jabv ridv laka,Stop it You're being ridiculous
mvnyum to no suru nv gvri bv ridv laka,Stop it You're being ridiculous
mwwdwk matv la anyo go yubto,Stop worrying and get some sleep
mwwdwk matv la anyo go nyubto,Stop worrying and get some sleep
mwwdwk matv la anyo go yubla kv,Stop worrying and get some sleep
mwwdwk matv la anyo go nyubla kv,Stop worrying and get some sleep
hirya to! laam olo sudum aku doopa,Stop! There's a deer on the road
hirya to! lamda olo sudum aku doopa,Stop! There's a deer on the road
hirya to! laam olo sudum aku doodo,Stop! There's a deer on the road
hirya to! lamda olo sudum aku doodo,Stop! There's a deer on the road
hirya to! lampya olo sudum aku doopa,Stop! There's a deer on the road
hirya to! lampya olo sudum aku doopa,Stop! There's a deer on the road
hirya to! lampya olo sudum aku doodo,Stop! There's a deer on the road
hirya to! lampya olo sudum aku doodo,Stop! There's a deer on the road
hirya to! lamtv olo sudum aku doopa,Stop! There's a deer on the road
hirya to! lamtv olo sudum aku doopa,Stop! There's a deer on the road
hirya to! lamtv olo sudum aku doodo,Stop! There's a deer on the road
hirya to! lamtv olo sudum aku doodo,Stop! There's a deer on the road
hirya to! lau olo sudum aku doopa,Stop! There's a deer on the road
hirya to! lau olo sudum aku doopa,Stop! There's a deer on the road
hirya to! lau olo sudum aku doodo,Stop! There's a deer on the road
hirya to! lau olo sudum aku doodo,Stop! There's a deer on the road
yerak hvnam alv bv loodak lo hvtar duku,Stories often have happy endings
yerak paanam alv bv loodak lo hvtar duku,Stories often have happy endings
yerak paanam himpu bv loodak lo hvtar duku,Stories often have happy endings
hvbv rinam-paanam rima jvka alv pe,Such measures were not necessary
hvbv mvdu-mvmia mvma jvka alv pe,Such measures were not necessary
lampa la mwnww lait v ngabro ku,Suddenly all the lights went out
jemai-tai bv lait mwnww ngv ngero,Suddenly all the lights went out
jemai-tai bv lait mwnww ngv ngabro,Suddenly all the lights went out
lampa la mwlww lait v ngabro ku,Suddenly all the lights went out
jemai-tai bv lait mwlww ngv ngero,Suddenly all the lights went out
jemai-tai bv lait mwlww ngv ngabro,Suddenly all the lights went out
"lampa la, bw agam raaduu vm raav ro","Suddenly, he changed the subject"
"rijik bv, bw agam raaduu vm raav ro","Suddenly, he changed the subject"
"lampa la, bw raav ro","Suddenly, he changed the subject"
"lampa la, bw raadu vm raav ro","Suddenly, he changed the subject"
Donyi apu ngv kaangam nv apu do,Sunflowers are beautiful flowers
donyi apu ngv kaaking nv apu pv,Sunflowers are beautiful flowers
donyi apu ngv kaaken nv apu pv,Sunflowers are beautiful flowers
donyi apu ngv kaaking nv apu do,Sunflowers are beautiful flowers
donyi apu ngv kaaken nv apu do,Sunflowers are beautiful flowers
sinyik lo horsok nam achvlv bv sokpu do,Swimming in the sea is great fun
sinyik lo horsok nam achvlv bv goopu do,Swimming in the sea is great fun
sinyik lo horsok nam achvlv bv himpu do,Swimming in the sea is great fun
sinyik lo horsuk nam achvlv bv sokpu do,Swimming in the sea is great fun
sinyik lo horsuk nam achvlv bv goopu do,Swimming in the sea is great fun
sinyik lo horsuk nam achvlv bv himpu do,Swimming in the sea is great fun
sinyik lo huursi nam achvlv bv sokpu do,Swimming in the sea is great fun
sinyik lo huursi nam achvlv bv goopu do,Swimming in the sea is great fun
sinyik lo huursi nam achvlv bv himpu do,Swimming in the sea is great fun
sinyik lo jaanam achvlv bv goopu do,Swimming in the sea is great fun
sinyik lo jaanam achvlv bv himpu do,Swimming in the sea is great fun
seryok lo horsok nam achvlv bv sokpu do,Swimming in the sea is great fun
seryok lo horsok nam achvlv bv goopu do,Swimming in the sea is great fun
seryok lo horsok nam achvlv bv himpu do,Swimming in the sea is great fun
seryok lo horsuk nam achvlv bv sokpu do,Swimming in the sea is great fun
seryok lo horsuk nam achvlv bv goopu do,Swimming in the sea is great fun
seryok lo horsuk nam achvlv bv himpu do,Swimming in the sea is great fun
seryok lo huursi nam achvlv bv sokpu do,Swimming in the sea is great fun
seryok lo huursi nam achvlv bv goopu do,Swimming in the sea is great fun
seryok lo huursi nam achvlv bv himpu do,Swimming in the sea is great fun
seryok lo jaanam achvlv bv goopu do,Swimming in the sea is great fun
seryok lo jaanam achvlv bv himpu do,Swimming in the sea is great fun
haai lo horsok nam achvlv bv sokpu do,Swimming in the sea is great fun
haai lo horsok nam achvlv bv goopu do,Swimming in the sea is great fun
haai lo horsok nam achvlv bv himpu do,Swimming in the sea is great fun
haai lo horsuk nam achvlv bv sokpu do,Swimming in the sea is great fun
haai lo horsuk nam achvlv bv goopu do,Swimming in the sea is great fun
haai lo horsuk nam achvlv bv himpu do,Swimming in the sea is great fun
haai lo huursi nam achvlv bv sokpu do,Swimming in the sea is great fun
haai lo huursi nam achvlv bv goopu do,Swimming in the sea is great fun
haai lo huursi nam achvlv bv himpu do,Swimming in the sea is great fun
haai lo jaanam achvlv bv goopu do,Swimming in the sea is great fun
haai lo jaanam achvlv bv himpu do,Swimming in the sea is great fun
isi koro lo horsok nam achvlv bv sokpu do,Swimming in the sea is great fun
isi koro lo horsok nam achvlv bv goopu do,Swimming in the sea is great fun
isi koro lo horsok nam achvlv bv himpu do,Swimming in the sea is great fun
isi koro lo horsuk nam achvlv bv sokpu do,Swimming in the sea is great fun
isi koro lo horsuk nam achvlv bv goopu do,Swimming in the sea is great fun
isi koro lo horsuk nam achvlv bv himpu do,Swimming in the sea is great fun
isi koro lo huursi nam achvlv bv sokpu do,Swimming in the sea is great fun
isi koro lo huursi nam achvlv bv goopu do,Swimming in the sea is great fun
isi koro lo huursi nam achvlv bv himpu do,Swimming in the sea is great fun
isi koro lo jaanam achvlv bv goopu do,Swimming in the sea is great fun
isi koro lo jaanam achvlv bv himpu do,Swimming in the sea is great fun
isi jaanam ww lvga bv alv do,Swimming is good for your health
isi jaanam no gv ww lvga bv alv do,Swimming is good for your health
Suitjerlendv gwwda mwlww lo alv yachuk nv mooku v,Switzerland is the best country
Suitjerlendv gwwda mwlww lo alv yachuk nv mooku do,Switzerland is the best country
Suitjerlendv gwwda mwlwng lo alv yachuk nv mooku v,Switzerland is the best country
Suitjerlendv gwwda mwlwng lo alv yachuk nv mooku do,Switzerland is the best country
Suitjerlendv gwngda mwlww lo alv yachuk nv mooku v,Switzerland is the best country
Suitjerlendv gwngda mwlww lo alv yachuk nv mooku do,Switzerland is the best country
Suitjerlendv gwngda mwlwng lo alv yachuk nv mooku v,Switzerland is the best country
Suitjerlendv gwngda mwlwng lo alv yachuk nv mooku do,Switzerland is the best country
no kukis sim hwdw go naadu bv mwwdo naalai,Take as many cookies as you want
no kukis sim hwdw go naasu mwwdo naalai,Take as many cookies as you want
no pich apu sam hwdw go naadu bv mwwdo naalai,Take as many peaches as you like
no pich apu sam hwdw go naasu mwwdo naalai,Take as many peaches as you like
no kukis sim hvkam go naadu bv mwwdo naalai,Take as many cookies as you want
no kukis sim hvkam go naasu mwwdo naalai,Take as many cookies as you want
no pich apu sam hvkam go naadu bv mwwdo naalai,Take as many peaches as you like
no pich apu sam hvkam go naasu mwwdo naalai,Take as many peaches as you like
no pich apu sam hvkam go naadu bv mwwdo naalai,Take as many peaches as you want
no pich apu sam hvkam go naasu mwwdo naalai,Take as many peaches as you want
no kukis sim hwdw go naadu bv mwwdo naato,Take as many cookies as you want
no kukis sim hwdw go naasu mwwdo naato,Take as many cookies as you want
no pich apu sam hwdw go naadu bv mwwdo naato,Take as many peaches as you like
no pich apu sam hwdw go naasu mwwdo naato,Take as many peaches as you like
no kukis sim hvkam go naadu bv mwwdo naato,Take as many cookies as you want
no kukis sim hvkam go naasu mwwdo naato,Take as many cookies as you want
no pich apu sam hvkam go naadu bv mwwdo naato,Take as many peaches as you like
no pich apu sam hvkam go naasu mwwdo naato,Take as many peaches as you like
no pich apu sam hvkam go naadu bv mwwdo naato,Take as many peaches as you want
no pich apu sam hvkam go naasu mwwdo naato,Take as many peaches as you want
no kukis sim hwdw go naadu bv mwwdo naale,Take as many cookies as you want
no kukis sim hwdw go naasu mwwdo naale,Take as many cookies as you want
no pich apu sam hwdw go naadu bv mwwdo naale,Take as many peaches as you like
no pich apu sam hwdw go naasu mwwdo naale,Take as many peaches as you like
no kukis sim hvkam go naadu bv mwwdo naale,Take as many cookies as you want
no kukis sim hvkam go naasu mwwdo naale,Take as many cookies as you want
no pich apu sam hvkam go naadu bv mwwdo naale,Take as many peaches as you like
no pich apu sam hvkam go naasu mwwdo naale,Take as many peaches as you like
no pich apu sam hvkam go naadu bv mwwdo naale,Take as many peaches as you want
no pich apu sam hvkam go naasu mwwdo naale,Take as many peaches as you want
hvmi gwdw vm naam arw vvgv lai,Take the children into the house
home gwdw vm naam arw vvgv lai,Take the children into the house
hvmi gwdw vm naam arw vvgv to,Take the children into the house
hvmi gwdw vm naam arw vvgv to,Take the children into the house
hvmi gwdw vm naam arw vnggv lai,Take the children into the house
home gwdw vm naam arw vnggv lai,Take the children into the house
hvmi gwdw vm naam arw vnggv to,Take the children into the house
hvmi gwdw vm naam arw vnggv to,Take the children into the house
dobai sim achin dvma tw bv dvla na,Take this medicine between meals
dobai sim achin dvdw apo gv lvpa lo dvla na,Take this medicine between meals
no remin to rijik mvma jika alv re,Take your time There's no hurry
no apo pomin to rijik mvma jika alv re,Take your time there's no hurry
no doomin tvla rijik ma jika alv re,Take your time there's no hurry
miri rinam apo lo jabnam vm av-arv mwwpa do,Talking during a concert is rude
miri rinam apo lo jabnam vm ao-aro mwwpa do,Talking during a concert is rude
miri rinam apo lo jabnam vm akhv-arv mwwpa do,Talking during a concert is rude
miri ridw lo jabnam vm akhv-arv bv mwwdo,Talking during a concert is rude
miri ridw lo jabnam vm ao-aro bv mwwdo,Talking during a concert is rude
miri ridw lo jabnam vm av-arv bv mwwdo,Talking during a concert is rude
miri rinam apo lo jabnam vm asii-aa mwwpa do,Talking during a concert is rude
miri ridw lo jabnam vm asii-aa bv mwwdo,Talking during a concert is rude
miri rinam apo lo jabnam vm atu-are mwwpa do,Talking during a concert is rude
miri ridw lo jabnam vm atu-are bv mwwdo,Talking during a concert is rude
teksi bara poolo lookin lo ramcha re,Taxi fares will go up next month
Takar nyi minto ngo agam aku minre hvla,Tell Takar I'd like to talk to him
Takar nyi minto ngo agam aku jabre kv hvla,Tell Takar I'd like to talk to him
Takar nyi mintom lana ngo agam aku jabre kv hvla,Tell Takar I'd like to talk to him
Takar nyi mintam lana ngo agam aku jabre kv kvla,Tell Takar I'd like to talk to him
Takar nyi mintam lana ngo agam aku jabre hvla,Tell Takar I'd like to talk to him
Takar nyi mintom lana ngo agam aku jabre hvla,Tell Takar I'd like to talk to him
Takar nyi mintam lana ngo agam aku minre hvla,Tell Takar I'd like to talk to him
Takar nyi mintom lana ngo agam aku minre hvla,Tell Takar I'd like to talk to him
Takar nyi mintom lana ngo agam aku minre kv hvla,Tell Takar I'd like to talk to him
Takar nyi mintam lana ngo agam aku minre kv kvla,Tell Takar I'd like to talk to him
Takar nyi minto svlu nyi bw vm ringam tvkv hvla,Tell Takar he has to do that today
Takar nyi memto svlu nyi bw vm ringam tvkv hvla,Tell Takar he has to do that today
Takar nyi minto svlu nyi kaam vm ringam tvkv hvla,Tell Takar he has to do that today
Takar nyi minto svlu vm ringam pvlai hvla,Tell Takar he has to do that today
